StudentID,FirstName,MiddleName,LastName,DateOfBirth,BloodType,HouseID
2940,Dudley,Ver,Dursley,1996-07-22,pure-blood,1
9348,Draco,Lucius,Malfoy,1995-11-13,pure-blood,2
4094,Harry,James,Potter,1998-06-04,pure-blood,3
6307,Ron,Bilius,Weasley,1999-02-01,pure-blood,4
1354,Hermione,Jean,Granger,1996-09-19,pure-blood,1
5683,Roger,James,Davies,1997-12-27,half-blood,2
6628,Viktor,Grace,Krum,1995-12-18,muggle-born,3
9712,Edward,Remus,Lupin,1998-05-09,pure-blood,4
8629,Tom,Marvolo,Riddle,1999-09-06,pure-blood,1
5166,Victoria,Lola,Frobisher,1997-02-22,muggle-born,2
1978,Kirke,Digory,Andrew,1996-04-09,half-blood,3
2988,Robins,Peakes,Demelza,1995-10-31,muggle-born,4
5576,Avery,Lee,Wilson,1999-04-08,half-blood,1
8761,Oliver,George,Clark,1998-08-27,muggle-born,2
1955,Isabella,Rose,Lopez,1997-11-20,pure-blood,3
7021,Liam,Michael,Davis,1996-08-11,half-blood,4
3111,Charlotte,Marie,Anderson,1995-07-01,half-blood,1
7765,Noah,William,Harris,1999-12-15,muggle-born,2
1829,Sophia,Elizabeth,Baker,1998-03-29,half-blood,3
2271,Lucas,David,Garcia,1997-05-12,muggle-born,4
6500,Amelia,Louise,Miller,1996-01-30,half-blood,1
9556,Logan,Scott,Thompson,1995-09-23,half-blood,2
6825,Emma,Kate,Robinson,1999-11-03,pure-blood,3
9622,Caleb,Anthony,Green,1998-01-18,muggle-born,4
1403,Madison,Rae,Adams,1997-03-15,muggle-born,1
4713,Aiden,Christopher,Stewart,1996-10-26,half-blood,2
7130,Aria,Nicole,Campbell,1995-08-06,pure-blood,3
9186,Mason,Robert,Cooper,1999-06-17,muggle-born,4
9961,Aurora,Grace,Rossi,1998-09-11,muggle-born,1
8092,Cameron,Joseph,Wright,1997-01-05,half-blood,2
6636,Hazel,Mae,Hall,1996-05-27,half-blood,3
9397,Gabriel,Thomas,Morris,1995-12-08,muggle-born,4
3086,Evelyn,Faith,Turner,1999-05-02,muggle-born,1
8876,Jackson,Taylor,Hughes,1998-04-13,pure-blood,2
5460,Luna,Marina,Martin,1997-06-06,muggle-born,3
7958,Levi,Andrew,Nelson,1996-02-24,half-blood,4
4914,Harper,Rose,Johnson,1995-10-16,half-blood,1
8903,Joshua,Middleton,Francis,1999-08-04,pure-blood,2
7968,Austin,Lee,Spoor,1998-11-27,pure-blood,3
8066,Josh,ThatGuy,Robertson,1997-04-20,pure-blood,4
